session_path,subject_id,session_id,trial,trial_uid,id,photostim_onset,photostim_power,photostim_duration,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,start_time,stop_time,presample_start_times,presample_stop_times,sample_start_times,sample_stop_times,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,right_lick_times,photostim_start_times,photostim_stop_times,trial_time_total,trialend_start_times,trialend_stop_times
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,27,27,26,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,176.34,181.3065,176.84,177.6947,177.6947,178.3447,178.3447,179.5447,179.5447,181.0447,"179.7815, 179.9393, 180.0725, 180.2128, 180.3572, 180.5077, 180.6542, 180.7852, 180.9019, 181.0385, 181.1658",,,,4.966499999999996,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,28,28,27,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,183.6024,188.5776,184.1024,184.966,184.966,185.616,185.616,186.816,186.816,188.316,"187.0526, 187.2140, 187.3275, 187.4967, 187.6267, 187.7776, 187.9225, 188.0645, 188.2035, 188.3475, 188.4816",,,,4.975200000000001,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,29,29,28,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,191.3254,196.3349,191.8254,192.7175,192.7175,193.3675,193.3675,194.5675,194.5675,196.0675,"194.8099, 194.9391, 195.0815, 195.2205, 195.3818, 195.5403, 195.6800, 195.8188, 195.9455, 196.0760, 196.2615",,,,5.009500000000003,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,30,30,29,N/A,N/A,N/A,audio delay,1,right,no early,miss,0,0,198.8984,202.3104,199.3984,200.0795,200.0795,200.7295,200.7295,201.9295,201.9295,,202.2104,,,,3.4119999999999777,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,31,31,30,N/A,N/A,N/A,audio delay,1,right,no early,miss,0,0,204.1655,207.7024,204.6655,205.53,205.53,206.18,206.18,207.38,207.38,,207.6024,,,,3.536900000000003,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,32,32,31,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,209.5204,214.2923,210.0204,210.7776,210.7776,211.4276,211.4276,212.6276,212.6276,214.1276,,"212.7673, 212.9241, 213.0517, 213.1716, 213.3102, 213.4493, 213.5802, 213.7283, 213.8500, 213.9910, 214.1663",,,4.7719000000000165,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,33,33,32,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,216.6371,221.3364,217.1371,217.8162,217.8162,218.4662,218.4662,219.6662,219.6662,221.1662,,"219.8114, 219.9181, 220.0650, 220.1878, 220.3357, 220.4553, 220.5197, 220.6496, 220.8121, 220.9218, 221.0580, 221.1979",,,4.699299999999994,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,34,34,33,N/A,N/A,N/A,audio delay,1,left,no early,ignore,0,0,224.54,229.4624,225.04,225.8124,225.8124,226.4624,226.4624,227.6624,227.6624,229.1624,,,,,4.92240000000001,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,35,35,34,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,231.2796,234.771,231.7796,232.5224,232.5224,233.1724,233.1724,234.3724,234.3724,,,234.6710,,,3.4913999999999987,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,36,36,35,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,236.6063,241.6805,237.1063,237.9838,237.9838,238.6338,238.6338,239.8338,239.8338,241.3338,"240.1555, 240.2818, 240.3916, 240.5125, 240.6576, 240.8189, 240.9645, 241.1099, 241.2450, 241.3672, 241.5111, 241.6516",,,,5.0741999999999905,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,37,37,36,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,244.4142,249.3085,244.9142,245.7653,245.7653,246.4153,246.4153,247.6153,247.6153,249.1153,"247.7835, 247.8774, 248.0264, 248.1542, 248.3109, 248.4439, 248.5854, 248.7206, 248.8499, 248.9992, 249.1424",,,,4.894300000000015,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,38,38,37,1.893,5.500,0.5000,audio delay,1,right,no early,hit,0,0,251.1316,255.8578,251.6316,252.375,252.375,253.025,253.025,254.225,254.225,255.725,,"254.3318, 254.6437, 254.7593, 254.9010, 255.0354, 255.1814, 255.3171, 255.3694, 255.4914, 255.6212, 255.7486",253.0246,253.5246,4.726200000000006,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,39,39,38,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,260.2083,265.0444,260.7083,261.4408,261.4408,262.0908,262.0908,263.2908,263.2908,264.7908,"263.5184, 263.6484, 263.8346, 263.9531, 264.0771, 264.2233, 264.3768, 264.3954, 264.5200, 264.6563, 264.7938, 264.9301",,,,4.836099999999988,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,40,40,39,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,267.4969,272.308,267.9969,268.7395,268.7395,269.3895,269.3895,270.5895,270.5895,272.0895,,"270.7820, 270.8701, 271.0175, 271.1308, 271.2655, 271.4379, 271.6049, 271.7569, 271.8927, 272.0158, 272.0625, 272.1809",,,4.81110000000001,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,41,41,40,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,274.4442,277.6651,274.9442,275.6045,275.6045,276.2545,276.2545,277.4545,277.4545,,,277.5651,,,3.220899999999972,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,42,42,41,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,279.5153,284.2568,280.0153,280.7593,280.7593,281.4093,281.4093,282.6093,282.6093,284.1093,,"282.7308, 282.8717, 282.9967, 283.1116, 283.2566, 283.4331, 283.5791, 283.7111, 283.8333, 284.0052, 284.1636",,,4.741499999999974,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,43,43,42,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,286.0846,290.9551,286.5846,287.4683,287.4683,288.1183,288.1183,289.3183,289.3183,290.8183,,"289.4291, 289.5622, 289.6962, 289.8385, 289.9658, 290.1146, 290.2515, 290.3930, 290.5306, 290.6990, 290.8369",,,4.870499999999993,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,44,44,43,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,293.8435,298.6155,294.3435,295.1356,295.1356,295.7856,295.7856,296.9856,296.9856,298.4856,,"297.0895, 297.2293, 297.3465, 297.4998, 297.6471, 297.7800, 297.9155, 298.1093, 298.2656, 298.3817, 298.5553",,,4.771999999999991,,
